scope|path|proposed_classification|confidence|explanation
file_fallback|./.git/objects/6f/a97ae6c4c81d26cd3493a60626471209d85587|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/objects/87/c9ae4216f724a5634358cf262a90a90b29735c|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/objects/cd/ea240e3e314d7d620e5dcdf8be4140feb86938|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/objects/pack/pack-69f4e030a4d85e9e56983f61d0e55bade10ee594.idx|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/objects/pack/pack-69f4e030a4d85e9e56983f61d0e55bade10ee594.pack|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/objects/pack/pack-69f4e030a4d85e9e56983f61d0e55bade10ee594.rev|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/packed-refs|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/refs/heads/main|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/refs/remotes/origin/HEAD|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/refs/remotes/origin/main|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./_meta/files.raw|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./docs/PHASE2.md|unknown / mixed|low|insufficient evidence: top score below minimum threshold
