file_path|parent_directory|classification|confidence|top_score|runner_up_score|score_margin|matched_rule_ids|explanation|review_required|size_bytes|date|mime
./.git/objects/6f/a97ae6c4c81d26cd3493a60626471209d85587|/.git/objects/6f|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|171|2026-02-08|application/zlib
./.git/objects/87/c9ae4216f724a5634358cf262a90a90b29735c|/.git/objects/87|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|722|2026-02-08|application/zlib
./.git/objects/cd/ea240e3e314d7d620e5dcdf8be4140feb86938|/.git/objects/cd|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|885|2026-02-08|application/zlib
./.git/objects/pack/pack-69f4e030a4d85e9e56983f61d0e55bade10ee594.idx|/.git/objects/pack|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|1184|2026-02-08|application/octet-stream
./.git/objects/pack/pack-69f4e030a4d85e9e56983f61d0e55bade10ee594.pack|/.git/objects/pack|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|13196|2026-02-08|application/x-git
./.git/objects/pack/pack-69f4e030a4d85e9e56983f61d0e55bade10ee594.rev|/.git/objects/pack|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|68|2026-02-08|application/octet-stream
./.git/packed-refs|/.git|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|112|2026-02-08|text/plain
./.git/refs/heads/main|/.git/refs/heads|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|41|2026-02-08|text/plain
./.git/refs/remotes/origin/HEAD|/.git/refs/remotes/origin|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|30|2026-02-08|text/plain
./.git/refs/remotes/origin/main|/.git/refs/remotes/origin|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|41|2026-02-08|text/plain
./_meta/files.raw|/_meta|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|0|2026-02-08|text/plain
./docs/PHASE2.md|/docs|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|1459|2026-02-08|text/plain
